"Id","SalePrice"
1461,132617.502021896
1462,157786.537839505
1463,160370.069555649
1464,181240.65264411
1465,202168.687613696
1466,162405.277635484
1467,181478.158215419
1468,156678.607921624
1469,189113.816172467
1470,114271.754663056
1471,200088.967114327
1472,114891.463711857
1473,112647.102025888
1474,157990.874216567
1475,142830.073076291
1476,376567.408249713
1477,268397.870318739
1478,321685.57498994
1479,290959.256922284
1480,600926.626636955
1481,315745.486731552
1482,220441.884811421
1483,178422.530520907
1484,179485.712178395
1485,154822.273202747
1486,191530.625703531
1487,344679.710626538
1488,272656.642598225
1489,199631.582857567
1490,196525.729297446
1491,189667.255199508
1492,103480.7855077
1493,174429.78051649
1494,280758.295441095
1495,278797.974860343
1496,215542.366502367
1497,196152.222643446
1498,159563.125640114
1499,159563.125640114
1500,147721.575385812
1501,160102.038269985
1502,152351.1096449
1503,266282.268604581
1504,226784.107259208
1505,219484.64887328
1506,220757.764467793
1507,241407.720134162
1508,195190.869350655
1509,157883.040518093
1510,141987.210198552
1511,140876.765772283
1512,174299.307979131
1513,145242.769967213
1514,168043.113269669
1515,201314.238367405
1516,147230.100204309
1517,159382.662947771
1518,169811.777043778
1519,220219.089861769
1520,127123.99680232
1521,131216.944385792
1522,160705.799076636
1523,113127.593760182
1524,130328.719116578
1525,122135.41022613
1526,116284.990081819
1527,109705.608669387
1528,142984.858278226
1529,143176.196279792
1530,184796.193920165
1531,103299.235065368
1532,107471.008232459
1533,169402.898629253
1534,135921.861797716
1535,151032.2306077
1536,117982.775267352
1537,60273.6304393266
1538,174667.059973001
1539,189303.601111987
1540,100254.337286971
1541,146408.331018399
1542,143074.206394389
1543,188619.86332466
1544,98686.4389016191
1545,125566.910387522
1546,127656.581584847
1547,125368.944370282
1548,147092.273908416
1549,122187.922495272
1550,126121.819723581
1551,118072.389939734
1552,126141.189894623
1553,127931.702496733
1554,125816.624089515
1555,157296.049994729
1556,80755.0633256005
1557,101212.517139488
1558,104515.990240836
1559,104510.288293684
1560,136388.348950988
1561,128892.839983297
1562,133898.088516699
1563,113505.167109469
1564,160107.711593601
1565,132333.548468378
1566,232424.370308446
1567,82315.6156109192
1568,186905.629974048
1569,105936.115117824
1570,137403.02789705
1571,108229.682891428
1572,146964.508669388
1573,225137.86475482
1574,117753.82222514
1575,199221.116348627
1576,233694.334066488
1577,197643.404595123
1578,131304.209894122
1579,137086.604306773
1580,190461.277619421
1581,147913.462084323
1582,128574.599556744
1583,327650.384506375
1584,225865.529718495
1585,139731.414214504
1586,74509.6163539492
1587,106418.701757381
1588,143159.37096874
1589,107971.652146935
1590,146902.429241275
1591,100660.604650834
1592,122286.869991507
1593,120242.565140212
1594,130741.177193435
1595,95384.1566998497
1596,209800.054828009
1597,171363.897495268
1598,174883.189449871
1599,189461.912895932
1600,192617.885988026
1601,59666.5205176626
1602,113992.429828037
1603,96944.9190668435
1604,251290.470236274
1605,242579.639276233
1606,182758.971165065
1607,249092.678974449
1608,210842.55562136
1609,191576.302873056
1610,135250.806416026
1611,138304.028514349
1612,183306.570059037
1613,175430.989812772
1614,126099.912741628
1615,111317.4316621
1616,89407.9562262672
1617,111397.906592137
1618,133373.99972978
1619,141532.032760164
1620,171827.408741024
1621,136853.544511948
1622,132049.192887568
1623,255641.962904752
1624,193719.205270129
1625,124585.634431842
1626,174425.070801946
1627,171427.981725533
1628,260782.940197882
1629,160215.308883118
1630,373602.70068463
1631,223903.742555192
1632,249070.552181705
1633,151977.635326143
1634,172205.624850739
1635,154077.878176658
1636,160128.545564206
1637,184040.084612227
1638,205922.116654071
1639,196277.723247711
1640,271210.195274342
1641,173677.800020092
1642,209942.176975832
1643,232915.655249482
1644,224458.708415263
1645,202451.232613247
1646,157827.236857753
1647,168195.7399018
1648,139767.426094947
1649,144927.175529395
1650,121347.503924284
1651,131257.243685863
1652,115626.596485201
1653,122667.607680953
1654,151162.813668055
1655,155262.060475706
1656,150130.22357918
1657,152149.365723978
1658,150619.034645668
1659,144601.893228424
1660,150194.143865812
1661,441474.485472082
1662,401609.667197291
1663,402014.554336166
1664,547098.339607197
1665,340646.371755208
1666,303324.1381988
1667,320457.092788204
1668,349950.510126005
1669,291657.327062217
1670,352065.11262672
1671,251572.62879684
1672,495963.990906975
1673,280895.960693983
1674,273935.555011112
1675,183942.990933527
1676,185606.752482032
1677,202343.402277634
1678,522194.215114939
1679,352431.226993784
1680,350684.475794153
1681,272562.161023819
1682,273741.041502063
1683,204558.992958565
1684,172203.430635658
1685,159506.768229712
1686,183879.419158924
1687,154822.273202747
1688,187776.275554514
